taxon,lineage,probability,pangoLEARN_version,status,note
SEARCH-0201-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0204-SAN,B.6,1.0,2021-04-01,passed_qc,
SEARCH-0205-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0206-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0207-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0209-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0210-NBG,B.1.450,1.0,2021-04-01,passed_qc,
SEARCH-0212-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0213-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0214-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0215-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0216-SAN,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0217-SAN,B.1.243,1.0,2021-04-01,passed_qc,
SEARCH-0218-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0219-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0222-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0223-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0224-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0225-SAN,B.1.558,1.0,2021-04-01,passed_qc,
SEARCH-0228-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0230-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0231-SAN,B.1.243,1.0,2021-04-01,passed_qc,
SEARCH-0232-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0233-SAN,B.1.400,1.0,2021-04-01,passed_qc,
SEARCH-0234-SAN,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0235-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0236-SAN,B.1.243,1.0,2021-04-01,passed_qc,
SEARCH-0237-SAN,B.1.245,1.0,2021-04-01,passed_qc,
SEARCH-0240-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0244-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0245-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0247-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0248-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0249-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0250-SAN,B.1.314,1.0,2021-04-01,passed_qc,
SEARCH-0252-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0253-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0255-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0256-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0257-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0258-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0259-SAN,B.1.332,1.0,2021-04-01,passed_qc,
SEARCH-0260-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0261-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0262-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0263-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0264-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0265-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0266-NBG,B.1.577,1.0,2021-04-01,passed_qc,
SEARCH-0267-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0268-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0269-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0270-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0271-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0272-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0273-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0274-NBG,B.1.577,1.0,2021-04-01,passed_qc,
SEARCH-0275-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0276-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0277-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0278-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0279-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0280-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0281-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0282-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0283-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0284-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0285-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0286-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0287-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0288-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0289-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0290-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0291-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0292-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0293-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0294-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0295-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0296-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0297-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0298-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0299-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0300-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0301-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0302-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0303-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0304-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0305-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0306-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0307-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0308-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0309-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0310-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0311-SAN,A.1,1.0,2021-04-01,passed_qc,
SEARCH-0312-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0313-SAN,B.1.268,1.0,2021-04-01,passed_qc,
SEARCH-0314-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0318-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0319-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0320-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0322-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0323-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0324-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0326-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0327-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0328-NBG,B.1.590,1.0,2021-04-01,passed_qc,
SEARCH-0329-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0330-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0331-NBG,B.1.595,1.0,2021-04-01,passed_qc,
SEARCH-0332-NBG,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0333-JOR,B.28,1.0,2021-04-01,passed_qc,
SEARCH-0335-JOR,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0336-JOR,A,1.0,2021-04-01,passed_qc,
SEARCH-0338-JOR,B.28,1.0,2021-04-01,passed_qc,
SEARCH-0341-SAN,B.1.243,1.0,2021-04-01,passed_qc,
SEARCH-0347-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0348-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0349-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0351-SAN,B.1.241,1.0,2021-04-01,passed_qc,
SEARCH-0353-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0355-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0356-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0358-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0359-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0360-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0361-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0362-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0364-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0365-SAN,B.1.241,1.0,2021-04-01,passed_qc,
SEARCH-0366-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0367-SAN,B.1.245,1.0,2021-04-01,passed_qc,
SEARCH-0368-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0369-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0370-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0371-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0372-SAN,B.1.267,1.0,2021-04-01,passed_qc,
SEARCH-0373-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0374-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0376-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0377-SAN,B.1.320,1.0,2021-04-01,passed_qc,
SEARCH-0379-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0381-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0382-SAN,B.1.267,1.0,2021-04-01,passed_qc,
SEARCH-0383-SAN,B.1.397,1.0,2021-04-01,passed_qc,
SEARCH-0385-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0386-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0387-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0388-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0391-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0392-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0395-SAN,B.1.166,1.0,2021-04-01,passed_qc,
SEARCH-0398-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0399-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0401-SAN,B.1,1.0,2021-04-01,passed_qc,
SEARCH-0402-SAN,B.1.1,1.0,2021-04-01,passed_qc,
SEARCH-0404-SAN,A.1,1.0,2021-04-01,passed_qc,
